8Heapsort
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

steps:  10
runs:    1

       elements|       ascending|      descending|          random
-------------------------------------------------------------
          16000|          3.5582|          3.5392|         2.75016
          32000|          3.5472|          3.5442|         2.53514
          64000|          3.5382|          3.5422|         2.42314
         128000|          3.5502|          3.5552|         2.35513
         256000|          3.5452|          3.5252|         2.35914
         512000|          3.5542|          3.5242|         2.42314
        1024000|          3.5412|          3.5012|         2.58715
        2048000|          3.4682|          3.4362|         2.93617
        4096000|          3.4472|          3.4332|         3.65821
        8192000|          3.4542|         3.92222|         5.94734



